time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-06-26T15:35:05.219Z,35.78683333,-96.69233333,7.51,2.52,ml,82,88,0,0.2,ok,ok2019mktj,2019-06-27T01:55:27.026Z,"4km NW of Stroud, Oklahoma",earthquake,,0.4,0.26,30,reviewed,ok,ok
2019-06-26T14:23:29.929Z,56.1349,163.9618,10,4.4,mb,,111,4.389,0.97,us,us700045ag,2019-06-27T07:46:19.040Z,"92km E of Ust'-Kamchatsk Staryy, Russia",earthquake,9.5,1.9,0.097,31,reviewed,us,us
2019-06-26T11:02:18.016Z,56.1406,164.6194,10,4.2,mb,,113,4.669,0.47,us,us70004592,2019-06-26T11:27:32.040Z,"133km E of Ust'-Kamchatsk Staryy, Russia",earthquake,5.6,2,0.132,16,reviewed,us,us
2019-06-26T10:57:22.510Z,56.1925,164.4286,10,4.6,mb,,111,4.622,0.56,us,us7000458v,2019-06-26T11:15:31.040Z,"121km E of Ust'-Kamchatsk Staryy, Russia",earthquake,8.9,1.9,0.086,40,reviewed,us,us
2019-06-26T10:42:58.208Z,56.2434,163.9364,10,4.3,mb,,114,4.454,1.26,us,us7000458n,2019-06-26T11:24:50.040Z,"90km E of Ust'-Kamchatsk Staryy, Russia",earthquake,11.6,1.9,0.09,35,reviewed,us,us
2019-06-26T10:17:06.037Z,66.2954,-157.2134,0,2.7,ml,,,,0.75,ak,ak01984w6f2g,2019-06-26T10:31:34.040Z,"69km SSW of Kobuk, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-06-26T10:06:17.280Z,19.1728333,-155.4835,34.82,2.8,ml,73,87,0.02662,0.11,hv,hv71010881,2019-06-27T00:37:51.708Z,"4km S of Pahala, Hawaii",earthquake,0.37,0.45,0.205,41,reviewed,hv,hv
2019-06-26T09:21:58.493Z,36.5301,70.3361,209.86,4.3,mb,,66,2.247,0.56,us,us70004581,2019-06-26T09:36:13.040Z,"43km E of Farkhar, Afghanistan",earthquake,5.9,7.7,0.105,26,reviewed,us,us
2019-06-26T09:16:23.240Z,41.9865,-111.4715,1.4,2.48,ml,21,80,0.1792,0.13,uu,uu60328507,2019-06-26T14:34:15.350Z,"27km SSW of Paris, Idaho",earthquake,0.39,0.95,0.102,16,reviewed,uu,uu
2019-06-26T08:53:49.550Z,37.3896667,-121.7393333,7.24,2.46,md,126,34,0.02888,0.1,nc,nc73202311,2019-06-27T06:33:31.882Z,"8km ENE of Alum Rock, CA",earthquake,0.1,0.25,0.146,94,reviewed,nc,nc
